"Address","Occurrences","Title 1","Title 1 Length","Title 1 Pixel Width","Indexability","Indexability Status"
"https://www.sofoservis.sk/cennik","1","Cenník služieb - Sťahovanie, Vypratávanie, Montáž | Sofoservis","62","556","Indexable",""
"https://www.sofoservis.sk/kontakt","1","Kontaktujte nás | Sofoservis - Profesionálne sťahovacie služby","62","553","Indexable",""
"https://www.sofoservis.sk/vypratavanie-pivnic-garazi-nebytovych-priestorov","1","Vypratávanie pivníc, garáži a nebytových priestorov | Sofoservis","64","563","Indexable",""
"https://www.sofoservis.sk/vypratavanie-odvoz-stareho-nabytku","1","Odvoz, vypratávanie a likvidácia starého nábytku | Sofoservis","61","540","Indexable",""
"https://www.sofoservis.sk/buranie-demolacia-domov-bytov","1","Búranie a demolícia starých domov, budov, stodôl | Sofoservis","61","548","Indexable",""
"https://www.sofoservis.sk/vypratavanie","1","Vypratávanie - profesionálne vypratávacie služby | Sofoservis","61","543","Indexable",""
"https://www.sofoservis.sk/medzinarodne-stahovanie/holandsko","1","Sťahovanie do Holandska (Nizozemska) zo Slovenska | Sofoservis","62","586","Indexable",""
"https://www.sofoservis.sk/stahovanie-na-slovensko","1","Sťahovanie na Slovensko — Medzinárodné sťahovanie | Sofoservis","62","588","Indexable",""
"https://www.sofoservis.sk/vypratavanie-pozostalosti","1","Vypratávanie pozostalosti — po zosnulom diskrétne | Sofoservis","62","568","Indexable",""
"https://www.sofoservis.sk/vypratavanie-kancelarii","1","Vypratávanie kancelárií a kancelárskych priestorov | Sofoservis","63","559","Indexable",""
"https://www.sofoservis.sk/vypratavanie-chalupy","1","Vypratávanie chalupy, chaty a záhradného domčeka | Sofoservis","61","569","Indexable",""
"https://www.sofoservis.sk/en/moving-nitra","1","Moving Services Nitra - Apartments, Houses & Offices | Sofoservis","65","588","Indexable",""
"https://www.sofoservis.sk/en/moving-senec","1","Moving Services Senec - Apartments, Houses & Offices | Sofoservis","65","599","Indexable",""
"https://www.sofoservis.sk/en/moving-sala","1","Moving Services Šaľa - Apartments, Houses & Offices | Sofoservis","64","584","Indexable",""
"https://www.sofoservis.sk/stahovanie-petrzalka","1","Sťahovanie Petržalka - byty, panelové domy, nábytok | Sofoservis","64","574","Indexable",""
"https://www.sofoservis.sk/en/clearance","1","Clearance Services - Professional & Eco-Friendly | Sofoservis","61","538","Indexable",""
"https://www.sofoservis.sk/en/wall-demolition","1","Wall & Partition Demolition in Homes and Apartments | Sofoservis","64","588","Indexable",""
"https://www.sofoservis.sk/en/handyman-services","1","Handyman Services - Repairs, Assembly & Maintenance | Sofoservis","64","603","Indexable",""
"https://www.sofoservis.sk/en/home-junk-removal","1","Home Junk Removal Services - Apartments & Houses | Sofoservis","61","586","Indexable",""
"https://www.sofoservis.sk/en/moving-from-uk-to-slovakia","1","Moving from UK to Slovakia — International Removals | Sofoservis","64","588","Indexable",""
"https://www.sofoservis.sk/en/piano-moving","1","Piano Moving Service — Upright Piano & Grand Piano | Sofoservis","63","580","Indexable",""
